Authors,Author(s) ID,Title,Year,Source title,Volume,Issue,Art. No.,Page start,Page end,Page count,Cited by,DOI,Link,Affiliations,Authors with affiliations,Abstract,Author Keywords,Index Keywords,Document Type,Publication Stage,Open Access,Source,EID,quant
"Chisholm E., Olin C., Randal E., Witten K., Howden-Chapman P.",57188823391;57364756200;35778943100;6601989568;7003417304;,Placemaking and public housing: the state of knowledge and research priorities,2023,Housing Studies,,,,,,,,10.1080/02673037.2023.2206799,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85158979413&doi=10.1080%2f02673037.2023.2206799&partnerID=40&md5=892f062624759273286c92b4c43b290f,"Department of Public Health, University of Otago, Wellington, New Zealand; SHORE and Whariki Research Centre, Massey University, Auckland, New Zealand; School of Architecture, Victoria University of Wellington, New Zealand","Chisholm, E., Department of Public Health, University of Otago, Wellington, New Zealand; Olin, C., Department of Public Health, University of Otago, Wellington, New Zealand, School of Architecture, Victoria University of Wellington, New Zealand; Randal, E., Department of Public Health, University of Otago, Wellington, New Zealand; Witten, K., SHORE and Whariki Research Centre, Massey University, Auckland, New Zealand; Howden-Chapman, P., Department of Public Health, University of Otago, Wellington, New Zealand","This article examines the international literature on placemaking–practices or initiatives that encourage a sense of place–in public housing communities. Placemaking is likely to be particularly beneficial to public housing tenants, and is a current priority for public housing providers; yet reviews of placemaking research have failed to consider public housing. Our systematic quantitative review of 63 English-language journal articles reveals that the field is dominated by qualitative cross-sectional studies conducted in the United States, the United Kingdom, and Australia, in the context of regeneration, and published in social science journals. Our thematic analysis of this literature shows that placemaking is supported by forming relationships and participating in community activities, by access to quality public space and amenities, and by spending time and forming memories in a place. The review therefore provides guidance to public housing providers and reveals the need for particular research, including longitudinal studies, and studies conducted in both redeveloped and existing communities. © 2023 The Author(s). Published by Informa UK Limited, trading as Taylor & Francis Group.",housing regeneration; place attachment; Placemaking; public housing; public space; sense of place,,Article,Article in Press,,Scopus,2-s2.0-85158979413,1
"Brookfield K., Dimond C., Williams S.G.",55794991400;58055395900;58055933200;,Selling city centre flats in uncertain times: findings from two English cities,2023,Housing Studies,,,,,,,,10.1080/02673037.2023.2203095,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85158099509&doi=10.1080%2f02673037.2023.2203095&partnerID=40&md5=4484e388f86154a751993b6220741f5d,"Department of Environment and Geography, University of York, York, United Kingdom; Department of Health Sciences, University of York, York, United Kingdom; Department of Politics, University of York, York, United Kingdom","Brookfield, K., Department of Environment and Geography, University of York, York, United Kingdom; Dimond, C., Department of Health Sciences, University of York, York, United Kingdom; Williams, S.G., Department of Politics, University of York, York, United Kingdom","The UK’s city centre apartment markets have been affected by the coronavirus pandemic and a building safety crisis in ways not experienced by its suburban and rural housing markets. Sellers and estate agents have encountered falling demand and prices, elevated safety concerns, reluctant lenders and changes in buyers’ preferences. Against this backdrop, we investigated the narratives and images used to sell what have sometimes appeared to be ‘less sellable’ homes. Analysing the textual and visual content of 100 adverts for city centre flats, we explored the possible effects of the pandemic on property advertising, the positioning within adverts of building safety and, noting growing interest in sustainability, the presence of sustainability messages. Findings suggest that the core narratives used to sell city centre flats remain largely unchanged from those deployed to first market the concept of ‘city living’ to UK buyers in the late 1990s. Messages about building safety and sustainability appear uncommon. The implications of the findings are considered. © 2023 The Author(s). Published by Informa UK Limited, trading as Taylor & Francis Group.",city centre housing; comparative research; documentary research; Housing markets; real estate advertising,,Article,Article in Press,,Scopus,2-s2.0-85158099509,0
"Elkins M., Farrell L., Fry J.M.",55964784900;7006981468;7201780339;,Homelessness and housing insecurity among youth in Australia: sequence analysis of housing careers,2023,Housing Studies,,,,,,,,10.1080/02673037.2023.2203081,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85153594708&doi=10.1080%2f02673037.2023.2203081&partnerID=40&md5=e01b9e1709a22073f7e5e2bf185d9ee3,"School of Economics, Finance & Marketing, RMIT University, Melbourne, Australia; School of Population and Global Health, University of Melbourne, Melbourne, Australia","Elkins, M., School of Economics, Finance & Marketing, RMIT University, Melbourne, Australia; Farrell, L., School of Economics, Finance & Marketing, RMIT University, Melbourne, Australia; Fry, J.M., School of Population and Global Health, University of Melbourne, Melbourne, Australia","Despite significant policy developments addressing youth housing insecurity in Australia, youth remain subject to multiple housing arrangements that can lead to homelessness more than any other cohort. We focus on the housing sequences of youths, and we seek information in the order and duration of accommodation types used. We employ Journeys Home–a unique longitudinal dataset specifically designed to examine issues relating to homelessness or housing instability in Australia. We combine accommodation calendars with data-driven sequence analysis techniques that holistically consider the information in the accommodation sequence. Specifically, we identify a set of distinct accommodation typologies and find that those who experience the greatest housing insecurity are comparatively less likely to be educated or employed and more likely to have dependent children who are not living with them. Importantly, we find that not all housing insecurity is necessarily associated with primary homelessness. © 2023 The Author(s). Published by Informa UK Limited, trading as Taylor & Francis Group.",homelessness; Housing; Journeys Home; sequence analysis; youth,,Article,Article in Press,,Scopus,2-s2.0-85153594708,1
Hastings C.,57031574500;,"Why do some disadvantaged Australian families become homeless? Resources, disadvantage, housing and welfare",2023,Housing Studies,,,,,,,,10.1080/02673037.2023.2194248,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85151436623&doi=10.1080%2f02673037.2023.2194248&partnerID=40&md5=ead41ea7aa12ad2dfc57f5051a1711ac,"Sociology, Macquarie University, Sydney, Australia","Hastings, C., Sociology, Macquarie University, Sydney, Australia","Homeless families include children whose experiences of homelessness and extreme poverty can have long-term negative impacts over the life course. This paper proposes a resource-orientated causal explanation of the mechanisms of family homelessness in Australia. Given the critical role of poverty in housing insecurity, the model explains why some families living in extreme poverty and disadvantage become homeless and others do not. The research is positioned within a critical realist approach to theoretical causal explanation. It is influenced by interdisciplinary literature and psychologist Hobfoll’s Conservation of Resources theory. Previously published empirical analysis informs and supports the development of this theoretical model. Families use their resources to mitigate challenges to their housing security. However, disadvantage limits their accumulation of resources, contributes to accelerating resource loss, and constrains their capacity to act. An acute lack of affordable housing and insufficient welfare payments to secure private rental accommodation severely impacts a family’s capacity to navigate crises and avoid homelessness. © 2023 Informa UK Limited, trading as Taylor & Francis Group.",critical realism; disadvantage; family,,Article,Article in Press,,Scopus,2-s2.0-85151436623,0
"Saaristo S.-M., Silva R.",56966585400;56303283400;,Struggles against financialisation of housing in Lisbon–the case of Habita,2023,Housing Studies,,,,,,,,10.1080/02673037.2023.2190958,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85150956432&doi=10.1080%2f02673037.2023.2190958&partnerID=40&md5=3562f52388e76f0bb4be09d6e3a3e350,"ISCTE–Lisbon University Institute, Lisbon, Portugal; Department of Political and Economic Studies, Global Development Studies, Helsinki, Finland; Centre for Social Studies, University of Coimbra, Coimbra, Portugal; Institute of Social Sciences, University of Lisbon, Lisbon, Portugal","Saaristo, S.-M., ISCTE–Lisbon University Institute, Lisbon, Portugal, Department of Political and Economic Studies, Global Development Studies, Helsinki, Finland; Silva, R., ISCTE–Lisbon University Institute, Lisbon, Portugal, Centre for Social Studies, University of Coimbra, Coimbra, Portugal, Institute of Social Sciences, University of Lisbon, Lisbon, Portugal","Social movements can seek to challenge the variety of housing financialisation processes in different ways. Focussing on the case of the Habita association, we examine strategies to contest housing financialisation, which has unfolded through different spatiotemporal dynamics fostered by the State, as well as outcomes of this social mobilisation in Portugal. We emphasise the importance of mixing ‘invited’ strategies with ‘ínvented’ strategies, highlighting, simultaneously, the significance of the economic and political context as the stage where the struggles and their opportunities develop. Success is always situated within a context. In this sense, the focus on the reputational pressure of some actors of the state is identified as a way of obtaining results under certain conditions. Our analysis shows that despite facing an enormous imbalance of power concerning actors promoting housing financialisation, housing movements can be important mobilisers and question the dominant paths, interfering with state policies and financialisation processes and showcasing the need for and possibility of building alternatives to the financialisation and commodification of housing. © 2023 Informa UK Limited, trading as Taylor & Francis Group.",evictions; Financialisation of housing; housing precarity; Portugal; social movements; the state,,Article,Article in Press,,Scopus,2-s2.0-85150956432,1
"Ghezelseflou S., Emami A.",58157842000;57201877499;,Low-income households’ responses to residential dissatisfaction: a phenomenological approach,2023,Housing Studies,,,,,,,,10.1080/02673037.2023.2190957,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85150902115&doi=10.1080%2f02673037.2023.2190957&partnerID=40&md5=194b6b6442ab319e63f16f6fee8b1272,"Department of Architecture, Gonbad Kavoos Branch, Islamic Azad University, Gonbad Kavoos, Iran","Ghezelseflou, S., Department of Architecture, Gonbad Kavoos Branch, Islamic Azad University, Gonbad Kavoos, Iran; Emami, A., Department of Architecture, Gonbad Kavoos Branch, Islamic Azad University, Gonbad Kavoos, Iran","Residential dissatisfaction occurs due to a discrepancy between residents’ expectations and their residential environment. This phenomenon appears in a confrontation process, mostly in low-income families who cannot afford to relocate, calling for extracting their lived experiences. This study aimed to extract the consequences of residential dissatisfaction so that residents’ various coping strategies were narrated. This narrative was achieved through transcendental phenomenology and semi-structured interviews. The residents of Mehr housing scheme contributed to expressing the mentioned narrative through purposive sampling of Minudasht, Iran. Meanwhile, transcriptions were divided into three categories: revision of needs, change in the physical environment and relocation. The results included eight themes that residents showed to residential dissatisfaction. Residents’ strategies for dealing with residential dissatisfaction were also structured by an analytical framework encompassing individual/family, social, internal and external aspects. This article provides fresh insights into residents’ responses to residential dissatisfaction both in theory and practice. © 2023 Informa UK Limited, trading as Taylor & Francis Group.",low-income household; Mehr Housing Scheme; Residential dissatisfaction; residential satisfaction; transcendental phenomenology,,Article,Article in Press,,Scopus,2-s2.0-85150902115,0
"Mejía-Castillo A.D.J., Flores-González R., Castro López C.R., Reynoso-Alcántara V.",57191675055;58021193400;57192985199;36500345900;,Perceived privacy of the dwelling and psychological restoration during the COVID-19 lockdown,2023,Housing Studies,,,,,,,,10.1080/02673037.2023.2189230,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85150755817&doi=10.1080%2f02673037.2023.2189230&partnerID=40&md5=b8916b774fcc477f78383554a7c049fb,"Faculty of Psychology, University of Veracruz, Xalapa, Mexico; Center for Opinion Research, University of Veracruz, Xalapa, Mexico; Faculty of Statistics and Informatics, University of Veracruz, Xalapa, Mexico","Mejía-Castillo, A.D.J., Faculty of Psychology, University of Veracruz, Xalapa, Mexico; Flores-González, R., Center for Opinion Research, University of Veracruz, Xalapa, Mexico; Castro López, C.R., Center for Opinion Research, University of Veracruz, Xalapa, Mexico, Faculty of Statistics and Informatics, University of Veracruz, Xalapa, Mexico; Reynoso-Alcántara, V., Faculty of Psychology, University of Veracruz, Xalapa, Mexico","Dwelling is a fundamental factor for mental health. Lockdowns, established to contain the spread of SARS-CoV-2, forced millions of people to take shelter in their homes, enhancing the need to understand the characteristics of the dwelling that promote psychological restoration. In this paper, we analyze the relationship between some perceived conditions of dwelling habitability (appreciation of the physical environment, visible nature, crowding, and privacy) and their effect on psychological restoration through the concept of the perceived restorativeness of dwelling. An online survey was carried out with the participation of 478 Mexican adults. Physical environment, visible nature, crowding, and privacy showed significant correlations with the perceived restorativeness of housing and psychological restoration itself. However, only privacy showed an effect on psychological restoration in structural modelling. We propose that privacy is fundamental to improving dwellings’ restorativeness and restoring their inhabitants, and experts should consider it when designing housing spaces. However, more evidence is needed to generalize beyond the context of lockdowns. © 2023 Informa UK Limited, trading as Taylor & Francis Group.",crowding; Dwelling; habitability; perceived restorativeness; privacy; psychological restoration; visible nature,,Article,Article in Press,,Scopus,2-s2.0-85150755817,1
"Mouratidis K., Andersen B.",57193849422;55671986200;,What makes people stay longer in the densifying city? Exploring the neighbourhood environment and social ties,2023,Housing Studies,,,,,,,,10.1080/02673037.2023.2185593,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85150493289&doi=10.1080%2f02673037.2023.2185593&partnerID=40&md5=15bdc032f2b66a077a330ae41488d10e,"Department of Urban and Regional Planning, Norwegian University of Life Sciences, Ås, Norway; Work Research Institute, Oslo Metropolitan University, Oslo, Norway","Mouratidis, K., Department of Urban and Regional Planning, Norwegian University of Life Sciences, Ås, Norway; Andersen, B., Work Research Institute, Oslo Metropolitan University, Oslo, Norway","Residential mobility, the movement of households within urban areas, is an important issue for urban planning and development. However, little is known on how residential mobility intentions are shaped in densifying cities. Drawing on quantitative and qualitative survey material from the densifying inner city of Oslo, Norway, we investigate potential drivers of intentions to live longer in a neighbourhood of a densifying inner city. Findings show that dwelling ownership, dwelling size, perceived neighbourhood safety, and socializing with friends and neighbours locally are all associated with intentions to live longer in a neighbourhood. Residents of older compact neighbourhoods are found to participate more frequently in activities locally and seem to have stronger local social ties than residents of newly densified neighbourhoods. Moreover, residents’ insights suggest that newly densified neighbourhoods are often inadequately designed or developed in terms of physical attributes, and this may contribute to possible moving intentions. These findings shed further light on the challenging path towards liveable urban densification. © 2023 Informa UK Limited, trading as Taylor & Francis Group.",compact city; intentions to move; neighbourhood quality; social cohesion; social relationships; urban liveability,,Article,Article in Press,,Scopus,2-s2.0-85150493289,1
"Wang Y., Mao Z., Wang D.",57214940317;57191972665;7407067503;,Housing affordability and mental health in urban China: a cross-sectional study,2023,Housing Studies,38,3,,484,504,,3,10.1080/02673037.2021.1888891,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85150160880&doi=10.1080%2f02673037.2021.1888891&partnerID=40&md5=6be6077043beaae1defb97f5a5b1327d,"College of Public Administration, Zhongnan University of Economics and Law, Wuhan, China; School of Tourism Management, Sun Yat-Sen University, Guangzhou, China; Department of Geography, Hong Kong Baptist University, Kowloon, Hong Kong","Wang, Y., College of Public Administration, Zhongnan University of Economics and Law, Wuhan, China; Mao, Z., School of Tourism Management, Sun Yat-Sen University, Guangzhou, China; Wang, D., Department of Geography, Hong Kong Baptist University, Kowloon, Hong Kong","The mental health implications of housing affordability have recently received research attentions in different countries. This study examines this issue in the context of urban China, where housing affordability has become one of the most pressing social issues and its health implications have aroused academic interests. We aim to enrich the literature by specifying the mental health implications of housing affordability for different population groups and geographical regions. We focus on homeowners living in urban China. Data from the 2016 Wave of the China Family Panel Studies are used for the study. Models are developed for the whole sample and for subsamples of different socioeconomic backgrounds or from different Chinese regions. We find that the mental health impacts of housing affordability are significantly different for different population groups. For examples, though males are in general mentally healthier than females, they are more likely to mentally suffer from housing unaffordability than females; unaffordable housing owners with non-agricultural Hukou are more likely to sacrifice mental health than those with agricultural Hukou, despite that the former are mentally healthier than the latter; housing unaffordability costs mental health for people living in the Western region, but not for those living in other regions of China. We argue that these group differences in the Chinese context may be attributed to a number of factors distinguishing China from other countries including the Hukou system and the large regional differences in social and economic development. © 2021 Informa UK Limited, trading as Taylor & Francis Group.",China; Housing affordability; mental health; neighbourhood; regions; socioeconomic groups,affordable housing; health care; housing market; mental health; neighborhood; panel data; socioeconomic status; urban area; urban population; China,Article,Final,,Scopus,2-s2.0-85150160880,1
Grander M.,57194771252;,"The inbetweeners of the housing markets–young adults facing housing inequality in Malmö, Sweden",2023,Housing Studies,38,3,,505,522,,4,10.1080/02673037.2021.1893278,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85150156923&doi=10.1080%2f02673037.2021.1893278&partnerID=40&md5=b3fa6a56f8b2d7be203294f7741807bb,"Department of Urban Studies, Malmö University, Malmö, Sweden","Grander, M., Department of Urban Studies, Malmö University, Malmö, Sweden","Throughout Europe, reports of problematic housing situations for young adults have increasingly emerged during the last decades. This paper explores housing experiences among young adults living in a disadvantaged area of Malmö, Sweden, taking the concept of housing inequality as its point of departure. The results suggest how young adults become stuck in between a number of parallel housing markets, leaving them no choice other than the illegal rental market–characterized by steep rents, insecure conditions and precarious quality. The paper advances a multidimensional understanding of housing inequality, as the limited access and poor quality of housing that young adults experience reproduces inequality in a broader sense: It influences potential wealth accumulation, the possibility to lead independent lives, the access to work and education, and thereby, the young adults’ health and well-being. © 2021 The Author(s). Published by Informa UK Limited, trading as Taylor & Francis Group.",generation rent; housing inequality; housing market; Young adults,accessibility; adult; housing market; rental sector; Malmo; Skane; Sweden,Article,Final,,Scopus,2-s2.0-85150156923,1
